dataset,video_name,segment,start_time,end_time
bebe_real,jornal_nacional,"O príncipe Harry e a doquesa Meghan Markle apresentaram hoje o filho recém-nascido. A primeira aparição de Harry foi aos olhos de todos. Uma multidão se acutuvelou em frente ao hospital. O primeiro vislumbre do filho do príncipe foi só para um seleto grupo da imprensa. E junto com o novo bebê real, o casal apresentou um estilo discreto. O menino estava embrulhado em carinhos. Meghan Markle falou da magia que é virar mãe, sobretudo por ter dois dos melhores caras do mundo. O bebê vem fazendo por merecer. Temperamento calmo e doce, Harry diz que nem sabe a quem ele puxou.","0,72","41,48"
bebe_real,jornal_nacional,"O casal também quebrou hoje outro mistério e revelou o nome do novo bebê real. Archie Harrison Manbatten-Windsor, um nome até bem mais curto do que os padrões da realeza.","43,0","52,24"
bebe_real,jornal_nacional,Elizabeth Alexandra Mary conheceu hoje o bisneto. A rainha apareceu ao lado do marido e da mãe de Meghan. O casal ainda não sabe com quem Archie se parece. O príncipe diz que o rosto de bebê muda muito. Só que o de pai e mãe muda ainda mais.,"52,72","67,48"
bebe_real,jornal_da_band,"Harry e a duquesa Meghan Markle apareceram em público pela primeira vez com o filho, que nasceu há dois dias.","0,0","6,06"
bebe_real,jornal_da_band,"O bebê real recebeu o nome de Archie Harrison. Na rápida aparição no castelo de Windsor, a duquesa de Sussex disse que o bebê é muito calmo, com temperamento doce. O príncipe brincou e disse que não sabe a quem ele puxou. Ele é muito calmo. Ele está com dor.","6,28","24,72"
bebe_real,jornal_da_band,"Horas depois, o casal divulgou o nome do bebê real. Archie Harrison Mutt-Batton, Windsor. O anúncio foi feito logo após a rainha Elizabeth e o príncipe Philip conhecerem o bisneto.","26,24","37,44"
bebe_real,jornal_da_band,O filho de Harry e Meghan é o sétimo na linha de sucessão ao trono britânico. Os pais se casaram em maio do ano passado e a gravidez foi anunciada em outubro.,"37,86","47,52"
bebe_real,jornal_da_band,Meghan deu à luz em casa uma tradição da família real.,"47,86","51,26"
bebe_real,jornal_da_record,"A duquesa Meghan Markle e o Príncipe Harry apresentaram hoje o mais novo integrante da família real. Foi no colo do pai sorridente que o mais novo bebê real foi apresentado ao mundo. E depois de se derreter em elogios à mulher, foi a vez do Príncipe Harry ganhar palavras carinhosas da esposa. Tenho os dois melhores caras do mundo, estou muito feliz. Completa Meghan. O bebê ganhou o nome de Arty Harrison, contrariando os principais palpites das bolsas de apostas britânicas.","0,62","37,86"
bebe_real,jornal_da_record,A Arty vai ter também nacionalidade americana por causa da mãe. Mas ainda não pode ser chamado de príncipe como os primos.,"38,2","45,86"
bebe_real,jornal_da_record,"Essa vai ser uma decisão da bisavó, a rainha Elizabeth. Hoje a monarca conheceu, enfim, o oitavo bisneto, sétimo na linha de sucessão ao trono.","46,12","56,9"
bebe_real,jornal_da_record,"O sorriso na foto confirma o encantamento com a criança, que também conquistou turistas e britânicos. O príncipe William ainda não conheceu o sobrinho, mas fez questão de dar ao irmão as boas-vindas ao clube dos que não dormem.","57,16","76,4"
bebe_real,jornal_da_record,Vai ser divertido. Completa o novo tio da realeza britânica.,"76,74","82,18"
bolsonaro_trump,jornal_nacional,"Depois do encontro dos presidentes Donald Trump e Jair Bolsonaro hoje em Washington, a Casa Branca declarou que os Estados Unidos apoiam a intenção brasileira de fazer parte da OCDE, a organização que reúne as principais economias do mundo, e que para isso, o presidente Bolsonaro concordou em começar a abrir mão do tratamento especial e diferenciado que o Brasil tem na Organização Mundial do Comércio. O aperto de mão foi o início de um dia marcado pela aparente afinidade entre Donald Trump e Jair Bolsonaro. No salão oval da Casa Branca, Bolsonaro disse que Brasil e Estados Unidos têm muito a oferecer um ao outro. Ele quer uma América grande e eu também quero um Brasil grande. Pode ter certeza, a partir desse momento aqui, o Brasil estará mais do que nunca estará encajado com os nossos Estados Unidos.","0,18","56,46"
bolsonaro_trump,jornal_nacional,"Isso, para eu entender, é motivo de orgulho e satisfação para os nossos povos. Trump agradeceu, disse ainda se lembrar de Pelé, e ofereceu uma camisa da seleção americana de futebol ao presidente brasileiro. Bolsonaro ganhou a camisa com o número 19 e deu a Trump uma da seleção brasileira com o número que foi de Pelé, o 10.","56,66","79,6"
bolsonaro_trump,jornal_nacional,"Em minha pergunta ao presidente americano, eu citei que o Brasil ofereceu acesso a uma base de lançamento de foguetes e o fim da exigência de vistos para americanos indo ao Brasil e questionei a Trump sobre o que ele gostaria que Bolsonaro levasse ao Brasil como resultado da visita. Trump respondeu que os Estados Unidos têm muitas coisas que ele acha que o Brasil pode fazer. Um dos grandes elementos, disse Trump, é o comércio. Trump afirmou ainda que o Brasil faz grandes produtos e que os americanos fazem grandes produtos e o comércio bilateral poderia ter sido melhor no passado. Ele completou que acha que o comércio entre Estados Unidos e Brasil vai aumentar substancialmente nos dois sentidos.","80,24","132,28"
bolsonaro_trump,jornal_nacional,"A repórter Raquel Krahenbuhl, da Globo News, perguntou a Trump se ele gostaria que o Brasil se envolvesse numa ação militar na Venezuela e também se ele apoia o esforço brasileiro de integrar a organização para a cooperação e desenvolvimento econômico. Trump respondeu que apoia sim o esforço brasileiro junto a OCDE e disse eu acho que falo tanto pelos Estados Unidos quanto pelo Brasil quando afirmo que todas as opções estão sobre a mesa, no que diz respeito a Venezuela.","133,3","168,7"
bolsonaro_trump,jornal_nacional,"Uma eventual entrada do Brasil na OCDE poderia facilitar o comércio internacional e baratear também o acesso do Brasil a financiamentos estrangeiros. Pouco antes de a imprensa toda ter que sair do Salão Oval, eu ainda fiz uma última pergunta ao presidente Bolsonaro. Apesar de o planejamento do Planalto ter previsto uma conversa privada entre os dois chefes de Estado, apenas com a presença de tradutores, o filho de Bolsonaro, deputado federal e presidente da Comissão de Relações Exteriores da Câmara, Eduardo Bolsonaro, permaneceu na sala com o pai e o presidente Donald Trump. Bolsonaro disse depois que foi a convite de Trump que Eduardo participou da conversa reservada.","170,7","231,48"
bolsonaro_trump,jornal_da_band,"O último dia da viagem a Washington, o presidente Jair Bolsonaro foi recebido por Donald Trump na Casa Branca.","0,08","5,9"
bolsonaro_trump,jornal_da_band,"Os dois discutiram acordos comerciais e também a crise na Venezuela. O presidente americano prometeu apoiar a entrada do Brasil na OCDE, organização que reúne os países mais ricos, e também como aliado da OTAN, que é a Aliança Militar do Atlântico Norte.","6,2","20,32"
